### BEGIN sudo -S ps -ef###

UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Feb26 ?        00:00:41 /sbin/init
root           2       0  0 Feb26 ?        00:00:00 [kthreadd]
root           3       2  0 Feb26 ?        00:00:00 [rcu_gp]
root           4       2  0 Feb26 ?        00:00:00 [rcu_par_gp]
root           6       2  0 Feb26 ?        00:00:00 [kworker/0:0H-kblockd]
root           8       2  0 Feb26 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 Feb26 ?        00:00:03 [ksoftirqd/0]
root          10       2  0 Feb26 ?        00:00:42 [rcu_sched]
root          11       2  0 Feb26 ?        00:00:08 [migration/0]
root          12       2  0 Feb26 ?        00:00:00 [idle_inject/0]
root          14       2  0 Feb26 ?        00:00:00 [cpuhp/0]
root          15       2  0 Feb26 ?        00:00:00 [kdevtmpfs]
root          16       2  0 Feb26 ?        00:00:00 [netns]
root          17       2  0 Feb26 ?        00:00:00 [rcu_tasks_kthre]
root          18       2  0 Feb26 ?        00:00:00 [kauditd]
root          19       2  0 Feb26 ?        00:00:00 [khungtaskd]
root          20       2  0 Feb26 ?        00:00:00 [oom_reaper]
root          21       2  0 Feb26 ?        00:00:00 [writeback]
root          22       2  0 Feb26 ?        00:00:00 [kcompactd0]
root          23       2  0 Feb26 ?        00:00:00 [ksmd]
root          24       2  0 Feb26 ?        00:00:00 [khugepaged]
root          70       2  0 Feb26 ?        00:00:00 [kintegrityd]
root          71       2  0 Feb26 ?        00:00:00 [kblockd]
root          72       2  0 Feb26 ?        00:00:00 [blkcg_punt_bio]
root          73       2  0 Feb26 ?        00:00:00 [tpm_dev_wq]
root          74       2  0 Feb26 ?        00:00:00 [ata_sff]
root          75       2  0 Feb26 ?        00:00:00 [md]
root          76       2  0 Feb26 ?        00:00:00 [edac-poller]
root          77       2  0 Feb26 ?        00:00:00 [devfreq_wq]
root          78       2  0 Feb26 ?        00:00:00 [watchdogd]
root          81       2  0 Feb26 ?        00:00:00 [kswapd0]
root          82       2  0 Feb26 ?        00:00:00 [ecryptfs-kthrea]
root          84       2  0 Feb26 ?        00:00:00 [kthrotld]
root          85       2  0 Feb26 ?        00:00:00 [acpi_thermal_pm]
root          86       2  0 Feb26 ?        00:00:00 [scsi_eh_0]
root          87       2  0 Feb26 ?        00:00:00 [scsi_tmf_0]
root          88       2  0 Feb26 ?        00:00:00 [scsi_eh_1]
root          89       2  0 Feb26 ?        00:00:00 [scsi_tmf_1]
root          91       2  0 Feb26 ?        00:00:00 [vfio-irqfd-clea]
root          92       2  0 Feb26 ?        00:00:00 [ipv6_addrconf]
root         102       2  0 Feb26 ?        00:00:00 [kstrp]
root         105       2  0 Feb26 ?        00:00:00 [kworker/u3:0]
root         118       2  0 Feb26 ?        00:00:00 [charger_manager]
root         160       2  0 Feb26 ?        00:00:08 [kworker/0:1H-kblockd]
root         161       2  0 Feb26 ?        00:00:00 [scsi_eh_2]
root         162       2  0 Feb26 ?        00:00:00 [scsi_tmf_2]
root         165       2  0 Feb26 ?        00:00:00 [cryptd]
root         232       2  0 Feb26 ?        00:00:00 [raid5wq]
root         272       2  0 Feb26 ?        00:00:03 [jbd2/sda1-8]
root         273       2  0 Feb26 ?        00:00:00 [ext4-rsv-conver]
root         345       1  0 Feb26 ?        00:00:08 /lib/systemd/systemd-journald
root         377       1  0 Feb26 ?        00:00:06 /lib/systemd/systemd-udevd
root         476       2  0 Feb26 ?        00:00:00 [kaluad]
root         477       2  0 Feb26 ?        00:00:00 [kmpath_rdacd]
root         478       2  0 Feb26 ?        00:00:00 [kmpathd]
root         479       2  0 Feb26 ?        00:00:00 [kmpath_handlerd]
root         480       1  0 Feb26 ?        00:01:28 /sbin/multipathd -d -s
root         491       2  0 Feb26 ?        00:00:00 [loop0]
root         494       2  0 Feb26 ?        00:00:00 [loop2]
systemd+     515       1  0 Feb26 ?        00:00:03 /lib/systemd/systemd-timesyncd
systemd+     595       1  0 Feb26 ?        00:00:03 /lib/systemd/systemd-resolved
root         706       1  0 Feb26 ?        00:00:27 /usr/lib/accountsservice/accounts-daemon
message+     714       1  0 Feb26 ?        00:00:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         720       1  0 Feb26 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
syslog       723       1  0 Feb26 ?        00:00:01 /usr/sbin/rsyslogd -n -iNONE
root         725       1  0 Feb26 ?        00:00:05 /lib/systemd/systemd-logind
root         727       1  0 Feb26 ?        00:00:01 /usr/lib/udisks2/udisksd
daemon       728       1  0 Feb26 ?        00:00:00 /usr/sbin/atd -f
root         771       1  0 Feb26 ttyS0    00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyS0 vt220
root         775       1  0 Feb26 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root         789       1  0 Feb26 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        3363       2  0 Feb26 ?        00:00:00 [spl_system_task]
root        3364       2  0 Feb26 ?        00:00:00 [spl_delay_taskq]
root        3365       2  0 Feb26 ?        00:00:00 [spl_dynamic_tas]
root        3366       2  0 Feb26 ?        00:00:00 [spl_kmem_cache]
root        3395       2  0 Feb26 ?        00:00:00 [zvol]
root        3396       2  0 Feb26 ?        00:00:00 [arc_prune]
root        3397       2  0 Feb26 ?        00:00:00 [zthr_procedure]
