"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\Audits","Commercial_audit_checklist_tool.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Commercial_audit_checklist_tool",,,"221129","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\Audits","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\Audits","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx",".xlsx","Commercial_audit_checklist_tool.xlsx","True","4/19/2022 3:37:37 PM","4/19/2022 7:37:37 PM","4/19/2022 4:03:40 PM","4/19/2022 8:03:40 PM","4/14/2022 1:04:27 PM","4/14/2022 5:04:27 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","DoD_Master_Office_2010_Settings_v1.0.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DoD_Master_Office_2010_Settings_v1.0",,,"319973","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx",".xlsx","DoD_Master_Office_2010_Settings_v1.0.xlsx","True","4/19/2022 3:37:37 PM","4/19/2022 7:37:37 PM","4/19/2022 4:03:40 PM","4/19/2022 8:03:40 PM","4/14/2022 1:04:27 PM","4/14/2022 5:04:27 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","Microsoft Office 2010 Service Pack 1 Changes.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft Office 2010 Service Pack 1 Changes",,,"40225","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx",".xlsx","Microsoft Office 2010 Service Pack 1 Changes.xlsx","True","4/19/2022 3:37:37 PM","4/19/2022 7:37:37 PM","4/19/2022 4:03:40 PM","4/19/2022 8:03:40 PM","4/14/2022 1:04:27 PM","4/14/2022 5:04:27 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","thoughtfarmer-intranet-content-migration-worksheet.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","thoughtfarmer-intranet-content-migration-worksheet",,,"30931","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx",".xlsx","thoughtfarmer-intranet-content-migration-worksheet.xlsx","True","4/19/2022 3:37:38 PM","4/19/2022 7:37:38 PM","4/19/2022 4:03:40 PM","4/19/2022 8:03:40 PM","4/14/2022 1:04:27 PM","4/14/2022 5:04:27 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\CoverLetters\the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\CoverLetters","the-cover-letter.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\CoverLetters\the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter",,,"22892","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\CoverLetters","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\CoverLetters","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\CoverLetters\the-cover-letter.docx",".docx","the-cover-letter.docx","True","4/19/2022 3:37:38 PM","4/19/2022 7:37:38 PM","4/19/2022 4:03:40 PM","4/19/2022 8:03:40 PM","4/14/2022 1:04:28 PM","4/14/2022 5:04:28 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","3yr-Project-Financial-Report-Template.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","3yr-Project-Financial-Report-Template",,,"145129","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx",".xlsx","3yr-Project-Financial-Report-Template.xlsx","True","4/19/2022 3:37:38 PM","4/19/2022 7:37:38 PM","4/19/2022 4:03:40 PM","4/19/2022 8:03:40 PM","4/14/2022 1:04:28 PM","4/14/2022 5:04:28 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","82808-Annual Report Financial Overview Template and Graphs.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","82808-Annual Report Financial Overview Template and Graphs",,,"3079772","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx",".xlsx","82808-Annual Report Financial Overview Template and Graphs.xlsx","True","4/19/2022 3:37:38 PM","4/19/2022 7:37:38 PM","4/19/2022 4:03:40 PM","4/19/2022 8:03:40 PM","4/14/2022 1:04:28 PM","4/14/2022 5:04:28 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","FinancialStatementFY12Q2.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","FinancialStatementFY12Q2",,,"78249","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx",".xlsx","FinancialStatementFY12Q2.xlsx","True","4/19/2022 3:37:38 PM","4/19/2022 7:37:38 PM","4/19/2022 4:03:41 PM","4/19/2022 8:03:41 PM","4/14/2022 1:04:28 PM","4/14/2022 5:04:28 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","GPAF IMP 067 Annual Financial Report 300414.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","GPAF IMP 067 Annual Financial Report 300414",,,"184360","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx",".xlsx","GPAF IMP 067 Annual Financial Report 300414.xlsx","True","4/19/2022 3:37:38 PM","4/19/2022 7:37:38 PM","4/19/2022 4:03:41 PM","4/19/2022 8:03:41 PM","4/14/2022 1:04:28 PM","4/14/2022 5:04:28 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","SBR FY 2016 Annual Report Template 7-21-16 Final",,,"47716","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements","False","C:\Users\Sebby\SYS320-SP22-New\SYS320-SP22\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx",".xlsx","SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","True","4/19/2022 3:37:38 PM","4/19/2022 7:37:38 PM","4/19/2022 4:03:41 PM","4/19/2022 8:03:41 PM","4/14/2022 1:04:28 PM","4/14/2022 5:04:28 PM",,"Archive"
